2025-09-24 at 13:50:08 | INFO | Бот успешно запущен
2025-09-24 at 13:50:14 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 13:50:14 | INFO | Запись не найдена по фильтрам{'telegram_id': 433841377}
2025-09-24 at 13:51:41 | INFO | Бот остановлен!
2025-09-24 at 13:51:46 | INFO | Бот успешно запущен
2025-09-24 at 13:51:51 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 13:51:51 | INFO | Запись не найдена по фильтрам{'telegram_id': 433841377}
2025-09-24 at 13:51:51 | INFO | Запись User успешно добавлена.
2025-09-24 at 13:51:51 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 13:51:51 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 13:51:59 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 13:51:59 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-24 at 13:56:36 | INFO | Бот остановлен!
2025-09-24 at 13:56:48 | INFO | Бот успешно запущен
2025-09-24 at 13:56:52 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 13:56:52 | ERROR | Ошибка при поиск записи по фильтрам {'telegram_id': 433841377}: (sqlite3.OperationalError) no such table: users
[SQL: SELECT users.telegram_id, users.username, users.first_name, users.last_name, users.trial_until, users.is_trial_used, users.id, users.created_at, users.updated_at 
FROM users 
WHERE users.telegram_id = ?]
[parameters: (433841377,)]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-09-24 at 13:57:00 | INFO | Бот остановлен!
2025-09-24 at 13:58:10 | INFO | Бот успешно запущен
2025-09-24 at 13:58:12 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-24 at 13:58:12 | INFO | Запись не найдена по фильтрам{'telegram_id': 433841377}
2025-09-24 at 13:58:12 | INFO | Запись User успешно добавлена.
